1,2,3,4,5,6,7,8,9
3285,25290,12678,5817,7606,8385,3008,13029,2420
3439,24430,12424,5866,7582,8622,3128,12724,2470
3553,24550,12625,6164,8015,8929,3394,13254,2660
3675,25070,12868,6591,8629,9184,3543,13729,2870
3742,25690,12910,6727,8915,9412,3579,13782,2960
3706,27170,13105,6794,8890,9685,3571,13801,2950
3769,29930,13768,6947,8830,9818,3562,14517,2860
3634,32850,14844,6866,8548,9735,3506,15689,2830
3803,36440,16768,6825,8379,10447,3709,17041,3070
3934,38660,17797,6913,8599,10866,3805,17653,3220
3776,38000,17374,6900,8894,10627,3758,17699,3210
3822,37580,17188,6968,8985,10526,3758,17685,3180
3569,36330,16057,6710,8713,9883,3546,16876,3010
3651,36730,16478,6909,8824,10258,3620,17257,3130
3662,35630,16239,6667,8546,10103,3556,16898,3060
3652,34430,16043,6581,8590,9957,3510,16735,2990
3736,34670,15976,6749,8909,10345,3516,17086,2950
3820,35330,15821,6876,9186,10492,3527,17280,3050
3958,37240,16476,7200,9746,10859,3626,17935,3230
3887,36980,16281,7236,9910,10637,3597,17812,3240
3756,36060,15934,7140,9645,10207,3490,17288,3160
3591,34470,15734,6917,9336,9712,3395,16640,2990
3477,32740,15130,6577,8973,9230,3340,15864,2800
3544,30800,14722,6369,8542,9055,3309,15068,2710
3462,28400,13717,6149,7957,8754,3220,13951,2590
3619,27230,13555,6205,7956,8883,3315,13669,2640
3715,26970,13551,6612,8433,9109,3502,14135,2860
3794,26940,13758,6875,9037,9299,3610,14381,3070
3836,26940,13631,6932,9334,9407,3608,14235,3130
3727,27390,13462,6831,9272,9453,3517,13910,3080
3617,27540,13255,6770,9057,9164,3371,13953,2890
3460,28050,13357,6575,8414,8629,3144,14448,2730
3422,29750,14090,6495,8083,8808,3127,15306,2880
3416,31620,14391,6501,8088,8937,3135,15788,2970
3387,32070,14040,6273,8239,8865,3107,15579,2890
3328,32120,13685,6193,8381,8704,3064,15226,2900
3164,31300,13057,6021,8168,8387,2950,14655,2770
3085,30280,13054,6014,8115,8282,2905,14609,2730
2941,29060,12742,5742,7798,8147,2828,14265,2630
2958,28410,12545,5660,7720,7986,2793,14104,2600
3111,28630,12807,5858,7955,8302,2847,14485,2550
3316,30380,13432,6178,8511,8663,2968,15104,2710
3556,33100,14094,6695,9158,9401,3146,16051,2990
3546,33220,14023,6902,9474,9391,3167,16177,3070
3416,32560,13792,6807,9232,9154,3108,15779,3000
3296,31210,13209,6562,8965,8815,3012,15238,2860
3249,29540,12460,6128,8667,8497,2973,14390,2660
3333,27760,12055,6007,8270,8480,2951,13682,2580
3306,25690,11429,5850,7835,8286,2855,12881,2490
3407,24560,11235,5970,7875,8466,2982,12561,2550
3471,24270,11470,6289,8351,8728,3169,12979,2760
3585,24410,11583,6652,8924,8922,3332,13376,2970
3599,24440,11577,6681,9189,9068,3322,13305,3010
3468,24740,11495,6535,9054,9136,3205,12709,2910
3275,25050,11286,6428,8594,8742,3023,12567,2710
3039,26710,11644,6139,7927,8032,2788,13071,2620
2996,28880,12271,5728,7371,8029,2661,13720,2680
3031,30340,12740,5610,7364,8062,2650,14042,2700
3036,30970,12778,5510,7340,7851,2615,14179,2600
3062,31370,12803,5570,7487,7793,2638,14134,2510
2951,31580,12771,5548,7597,7641,2625,14081,2450
2812,31670,12614,5321,7395,7494,2562,13930,2400
2665,31200,12641,5147,7031,7381,2579,13815,2330
2725,31370,12663,5130,6930,7374,2562,14010,2250
2920,32230,13006,5344,7198,7803,2653,14450,2300
3179,34000,13663,5826,8036,8319,2840,15117,2570
3471,35280,14098,6398,8653,9021,3023,15977,2810
3477,34910,13998,6474,9051,8992,3008,16047,2890
3366,34000,13742,6317,8944,8760,2940,15715,2830
3196,32330,13216,6218,8718,8341,2828,14964,2690
3043,30000,12349,5773,8316,7927,2766,13986,2510
3112,27920,11920,5549,7980,7790,2730,13292,2440
3061,25740,11306,5402,7559,7529,2663,12410,2370
3206,24630,11210,5526,7695,7790,2764,12156,2450
3328,24510,11410,5966,8281,8131,2992,12641,2670
3435,24780,11802,6455,8898,8436,3171,13122,2890
3528,25360,12020,6681,9307,8788,3240,13182,2970
3476,26960,12371,6726,9485,9154,3254,13223,2970
3418,30030,13090,6916,9648,9348,3179,13987,2950
3273,33740,14444,6807,9166,9299,3121,15236,2920
3372,38230,16521,6778,8808,10127,3368,16491,3190
3486,41460,17646,6902,9056,10543,3471,17259,3230
3463,41550,17440,6863,9264,10512,3473,17325,3240
3443,41610,17166,6869,9403,10470,3496,17207,3220
3242,39770,16073,6552,9084,10009,3262,16279,3040
3259,40320,16761,6739,9078,10404,3413,16721,3140
3184,40440,16560,6518,8852,10327,3374,16415,3060
3163,40060,16148,6419,8578,10261,3391,16184,2970
3311,40410,16089,6525,8826,10412,3419,16452,3030
3446,40540,15766,6727,9170,10367,3392,16510,3050
3613,40460,16092,6879,9626,10491,3479,16859,3140
3551,39190,15760,6861,9761,10070,3392,16768,3150
3380,37580,15352,6763,9532,9705,3291,16326,3050
3277,35460,15039,6482,9245,9147,3193,15738,2890
3128,32970,14350,6248,8956,8721,3146,15104,2700
3174,30450,14042,6074,8627,8515,3064,14355,2630
3066,27860,13216,6024,8193,8169,2972,13400,2540
3205,26540,13030,6130,8279,8335,3075,13079,2610
3324,26310,13248,6576,8813,8642,3300,13697,2820
3405,26370,13611,7068,9460,8881,3457,14080,3040
3457,26760,13703,7226,9832,9126,3505,14106,3130
3396,27810,13871,7182,9949,9449,3503,14112,3090
3280,29910,14375,7394,10079,9449,3432,14696,3040
3206,32250,14972,7131,9407,9339,3381,15373,2910
3361,35120,16492,7053,9060,10016,3536,16558,3090
3441,36260,17385,7021,9174,10248,3677,17302,3180
3378,36150,17236,6924,9258,9983,3626,17237,3180
3361,35800,16972,6967,9368,9818,3598,17194,3160
3147,34210,15835,6583,9062,9297,3358,16313,3000
3211,34390,16510,6776,9014,9561,3435,16748,3110
3123,33420,16390,6684,8786,9447,3364,16466,3080
3112,32990,16020,6638,8626,9290,3304,16255,2980
3266,33060,16000,6596,8912,9481,3321,16426,3110
3367,33380,15603,6477,9139,9384,3277,16348,2990
3545,34610,16078,6856,9637,9769,3366,16582,3110
3462,34090,15619,6836,9648,9562,3313,16354,3080
3314,32990,15104,6665,9348,9266,3252,15790,2980
3181,31310,14546,6464,8970,8844,3123,15197,2820
3005,29730,14056,6108,8545,8452,3074,14500,2620
3033,27890,13614,5925,8133,8230,3026,13792,2520
2980,25740,12811,5750,7666,7894,2909,12820,2410
3054,24710,12554,5728,7689,8101,3009,12525,2460
3157,24640,12760,6072,8181,8380,3233,13034,2670
3277,24820,13092,6594,8715,8586,3381,13560,2880
3329,25080,13090,6745,9005,8810,3451,13584,2940
3323,25760,13308,6769,8980,9125,3409,13500,2900
3389,26920,13649,6808,8870,9186,3336,13902,2820
3427,28680,14374,6713,8519,9119,3208,14521,2760
3709,31740,16083,6740,8388,9748,3335,15825,3000
3873,33240,16970,6945,8525,9943,3445,16636,3090
3893,33240,16749,6750,8590,9783,3451,16728,3120
3891,33980,16753,6784,8717,9576,3433,16858,3120
3632,33000,15502,6486,8482,9141,3246,15908,2970
3509,33250,16341,6703,8703,9342,3341,16482,3130
3401,32490,16264,6565,8547,9334,3320,16308,3090
3375,32010,15979,6500,8384,9158,3259,16022,2970
3477,31990,15832,6676,8705,9281,3294,16166,2880
3553,31920,15410,6597,8932,9256,3244,15875,2790
3725,32820,15743,6769,9179,9585,3306,16076,2970
3678,32170,15310,6742,9306,9455,3257,15894,2980
3519,31050,14844,6587,9084,9150,3168,15339,2880
3346,29540,14399,6382,8721,8742,3065,14798,2720
3189,28180,13948,6187,8401,8446,3025,14179,2530
3207,26580,13560,6051,8036,8283,2959,13485,2460
3176,24660,12857,5884,7515,7985,2879,12621,2370
3245,23730,12513,5921,7625,8216,2990,12393,2410
3405,23770,12759,6290,8113,8513,3193,12941,2620
3480,23990,13055,6803,8757,8748,3365,13468,2850
