,,Chubu,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Chubu
3/31/22,16:00,0,10765,1030,0,230,0,223,0,138,292,0,0,0,12678,13.3
3/31/22,17:00,0,10435,1001,0,229,0,202,0,0,557,0,0,0,12424,15.52
3/31/22,18:00,0,10688,1037,0,230,0,195,0,20,455,0,0,0,12625,15.66
3/31/22,19:00,0,10629,1054,0,230,0,198,0,82,675,0,0,0,12868,14.89
3/31/22,20:00,0,10738,1109,1,230,0,190,0,130,512,0,0,0,12910,15.72
3/31/22,21:00,0,10803,1120,0,229,0,183,0,130,640,0,0,0,13105,16.99
3/31/22,22:00,0,10984,1080,0,230,45,191,0,64,1174,0,0,0,13768,24.77
3/31/22,23:00,0,11119,1216,0,230,443,193,0,196,1447,0,0,0,14844,15.19
4/1/22,0:00,0,11213,1374,0,226,1547,162,0,70,2176,0,0,0,16768,11.41
4/1/22,1:00,0,10016,1342,0,221,3713,150,0,66,2289,0,0,0,17797,5.49
4/1/22,2:00,0,8418,1276,0,219,5818,148,-166,0,1661,0,0,0,17374,0.01
4/1/22,3:00,0,8294,1264,0,218,7602,158,-507,0,159,0,0,0,17188,0.01
4/1/22,4:00,0,7653,1167,0,221,8125,175,-1523,0,239,0,0,0,16057,0.01
4/1/22,5:00,0,8472,1213,0,220,7360,165,-1219,0,267,0,0,0,16478,0.01
4/1/22,6:00,0,8861,1258,1,220,6249,160,-895,0,385,0,0,0,16239,0.01
4/1/22,7:00,0,9621,1327,0,221,4712,184,-387,0,365,0,0,0,16043,6.12
4/1/22,8:00,0,10473,1423,0,222,2503,184,0,24,1147,0,0,0,15976,15.88
4/1/22,9:00,0,12496,1549,0,223,568,176,0,181,628,0,0,0,15821,23.35
4/1/22,10:00,0,13102,1795,0,221,0,175,0,842,341,0,0,0,16476,29.16
4/1/22,11:00,0,12647,1775,0,223,0,154,0,1539,0,-57,0,0,16281,28.32
4/1/22,12:00,0,12919,1578,0,221,0,133,0,1645,0,-562,0,0,15934,27.89
4/1/22,13:00,0,13237,1303,0,222,0,130,0,1028,0,-186,0,0,15734,27.18
4/1/22,14:00,0,13139,1170,0,221,0,125,0,436,39,0,0,0,15130,23.35
4/1/22,15:00,0,12994,1003,0,223,0,127,0,324,51,0,0,0,14722,16.01
4/1/22,16:00,0,12285,975,0,223,0,106,0,188,0,-60,0,0,13717,18.01
4/1/22,17:00,0,12004,970,0,224,0,91,0,54,212,0,0,0,13555,19.44
4/1/22,18:00,0,11637,958,0,222,0,72,0,0,662,0,0,0,13551,19.27
4/1/22,19:00,0,11757,968,0,223,0,52,0,0,758,0,0,0,13758,23.45
4/1/22,20:00,0,11271,1055,1,221,0,41,0,0,1042,0,0,0,13631,26.9
4/1/22,21:00,0,10819,1110,0,223,0,26,0,0,1284,0,0,0,13462,29.42
4/1/22,22:00,0,10527,1045,0,222,460,13,0,0,988,0,0,0,13255,23.92
4/1/22,23:00,0,9479,1086,0,223,1844,11,-68,0,782,0,0,0,13357,17.8
4/2/22,0:00,0,8636,1123,0,223,3527,11,-280,0,850,0,0,0,14090,11.42
4/2/22,1:00,0,7420,1148,0,222,5418,15,-1134,0,1302,0,0,0,14391,1.01
4/2/22,2:00,0,7087,1090,0,223,6764,16,-1569,0,429,0,0,0,14040,1.01
4/2/22,3:00,0,6729,1028,0,221,6897,14,-1037,0,0,-167,0,0,13685,0.01
4/2/22,4:00,0,6922,991,0,221,6754,25,-1890,0,34,0,0,0,13057,0.01
4/2/22,5:00,0,7499,996,0,223,5995,28,-2223,0,536,0,0,0,13054,0.01
4/2/22,6:00,0,7913,995,0,222,4787,37,-1581,0,369,0,0,0,12742,0.01
4/2/22,7:00,0,8385,1032,0,223,2766,50,-595,0,684,0,0,0,12545,0.01
4/2/22,8:00,0,9572,1104,0,222,989,57,0,15,848,0,0,0,12807,5.69
4/2/22,9:00,0,10487,1292,0,221,109,41,0,411,871,0,0,0,13432,17.79
4/2/22,10:00,0,11301,1407,0,222,0,28,0,723,413,0,0,0,14094,25.54
4/2/22,11:00,0,11329,1410,0,221,0,24,0,728,311,0,0,0,14023,23.98
4/2/22,12:00,0,11354,1310,0,221,0,15,0,454,438,0,0,0,13792,22.79
4/2/22,13:00,0,11265,1053,0,222,0,23,0,398,248,0,0,0,13209,20.77
4/2/22,14:00,0,10923,1039,0,222,0,27,0,322,0,-73,0,0,12460,18.3
4/2/22,15:00,0,11077,969,0,223,0,40,0,116,0,-370,0,0,12055,15.93
4/2/22,16:00,0,10679,936,0,221,0,41,0,28,0,-476,0,0,11429,16.8
4/2/22,17:00,0,9816,945,0,222,0,64,0,0,188,0,0,0,11235,18.67
4/2/22,18:00,0,9548,934,0,223,0,75,0,0,690,0,0,0,11470,19.22
4/2/22,19:00,0,9430,946,0,222,0,72,0,0,913,0,0,0,11583,20.21
4/2/22,20:00,0,9543,954,0,221,0,72,0,0,787,0,0,0,11577,19.97
4/2/22,21:00,0,9783,960,1,221,0,86,0,0,444,0,0,0,11495,18.22
4/2/22,22:00,0,9507,970,0,220,94,86,0,0,409,0,0,0,11286,17.93
4/2/22,23:00,0,9387,978,0,221,542,97,-2,0,421,0,0,0,11644,11.49
4/3/22,0:00,0,9125,1025,0,222,1077,99,-450,0,1173,0,0,0,12271,11.48
4/3/22,1:00,0,8985,1068,0,221,1646,99,-519,0,1240,0,0,0,12740,11.25
4/3/22,2:00,0,8353,1063,0,222,1989,82,-240,0,1309,0,0,0,12778,11.56
4/3/22,3:00,0,8355,984,0,222,1915,69,-142,0,1400,0,0,0,12803,11.57
4/3/22,4:00,0,8618,969,0,221,1631,79,0,0,1253,0,0,0,12771,9.23
4/3/22,5:00,0,8833,980,0,221,1201,59,0,0,1320,0,0,0,12614,11.24
4/3/22,6:00,0,9156,952,0,222,862,54,0,77,1318,0,0,0,12641,8.61
4/3/22,7:00,0,9378,965,0,223,490,50,0,275,1282,0,0,0,12663,11.25
4/3/22,8:00,0,9897,1073,0,220,160,49,0,372,1235,0,0,0,13006,11.24
4/3/22,9:00,0,10643,1315,0,222,12,47,0,629,795,0,0,0,13663,16.65
4/3/22,10:00,0,11114,1377,0,221,0,53,0,846,487,0,0,0,14098,19.3
4/3/22,11:00,0,11199,1324,0,222,0,57,0,607,589,0,0,0,13998,23.81
4/3/22,12:00,0,11132,1205,0,224,0,59,0,505,617,0,0,0,13742,22.74
4/3/22,13:00,0,10984,1107,0,223,0,54,0,180,668,0,0,0,13216,23.63
4/3/22,14:00,0,10769,968,0,223,0,47,0,2,340,0,0,0,12349,24.98
4/3/22,15:00,0,10943,934,0,224,0,50,-2,0,0,-229,0,0,11920,18
4/3/22,16:00,0,11280,910,0,222,0,49,-378,0,0,-777,0,0,11306,14.74
4/3/22,17:00,0,11297,929,0,223,0,48,-812,0,0,-475,0,0,11210,16.73
4/3/22,18:00,0,11470,979,0,222,0,49,-898,0,0,-412,0,0,11410,17.02
4/3/22,19:00,0,11896,986,0,223,0,51,-702,0,0,-652,0,0,11802,17.3
4/3/22,20:00,0,11774,989,0,222,0,54,-532,0,0,-487,0,0,12020,19.2
4/3/22,21:00,0,11647,1050,1,223,0,44,-362,0,0,-232,0,0,12371,27.85
4/3/22,22:00,0,11306,1149,0,221,329,38,0,16,31,0,0,0,13090,33.18
4/3/22,23:00,0,11017,1205,0,222,1846,53,0,96,5,0,0,0,14444,31.84
4/4/22,0:00,0,11543,1293,0,220,3482,54,0,130,0,-201,0,0,16521,24.54
4/4/22,1:00,0,10093,1163,0,217,4924,60,-246,0,1435,0,0,0,17646,26.03
4/4/22,2:00,0,9228,1091,0,217,5930,53,-796,0,1717,0,0,0,17440,19.57
4/4/22,3:00,0,8932,1091,0,217,6343,66,-924,0,1441,0,0,0,17166,19.74
4/4/22,4:00,0,8180,1040,0,220,6465,78,-914,0,1004,0,0,0,16073,16.8
4/4/22,5:00,0,8208,1044,0,219,6611,104,-598,0,1173,0,0,0,16761,19.27
4/4/22,6:00,0,8472,1049,0,221,5979,106,-547,0,1280,0,0,0,16560,19.74
4/4/22,7:00,0,9596,1068,1,220,4422,129,-455,0,1167,0,0,0,16148,22.12
4/4/22,8:00,0,11388,1229,0,222,2250,174,0,186,640,0,0,0,16089,31.96
4/4/22,9:00,0,11922,1436,0,221,511,170,0,241,1265,0,0,0,15766,36.51
4/4/22,10:00,0,13209,1499,0,223,0,172,0,694,295,0,0,0,16092,45.03
4/4/22,11:00,0,13129,1632,0,221,0,180,0,723,0,-125,0,0,15760,36.08
4/4/22,12:00,0,12889,1678,0,221,0,187,0,574,0,-197,0,0,15352,35.2
4/4/22,13:00,0,12693,1588,0,224,0,178,0,253,103,0,0,0,15039,35.62
4/4/22,14:00,0,12500,1432,0,226,0,159,0,20,13,0,0,0,14350,29.32
4/4/22,15:00,0,12635,1198,0,228,0,145,0,0,0,-164,0,0,14042,17.68
4/4/22,16:00,0,12074,1017,0,226,0,120,0,112,0,-333,0,0,13216,15.72
4/4/22,17:00,0,11376,994,0,227,0,99,0,294,40,0,0,0,13030,16.67
4/4/22,18:00,0,11184,1029,0,226,0,106,0,300,403,0,0,0,13248,19.44
4/4/22,19:00,0,11565,1023,0,227,0,114,0,126,556,0,0,0,13611,19.6
4/4/22,20:00,0,11457,1112,1,226,0,119,0,64,724,0,0,0,13703,20.21
4/4/22,21:00,0,11520,1059,0,227,2,115,0,52,896,0,0,0,13871,29.32
4/4/22,22:00,0,10880,1101,0,227,1023,100,0,310,734,0,0,0,14375,37.32
4/4/22,23:00,0,9630,1181,0,228,3427,94,0,271,141,0,0,0,14972,17.06
4/5/22,0:00,0,9235,1182,0,225,5744,56,0,144,0,-94,0,0,16492,12.53
4/5/22,1:00,0,8783,1147,0,224,7313,16,0,204,0,-302,0,0,17385,12.07
4/5/22,2:00,0,7615,987,0,224,8194,8,0,114,94,0,0,0,17236,9.82
4/5/22,3:00,0,7662,981,0,223,8606,11,-838,0,327,0,0,0,16972,11.84
4/5/22,4:00,0,7317,950,0,227,8439,5,-1976,0,873,0,0,0,15835,1.01
4/5/22,5:00,0,8295,970,0,223,7868,3,-1707,0,858,0,0,0,16510,7.27
4/5/22,6:00,0,8720,1052,0,226,6697,7,-953,0,641,0,0,0,16390,8.09
4/5/22,7:00,0,9433,1122,1,226,4859,10,-90,0,459,0,0,0,16020,6.6
4/5/22,8:00,0,10902,1291,0,227,2569,8,0,86,917,0,0,0,16000,16.54
4/5/22,9:00,0,12151,1514,0,227,402,7,0,42,1260,0,0,0,15603,29.87
4/5/22,10:00,0,12756,1702,0,218,0,10,0,741,651,0,0,0,16078,30.92
4/5/22,11:00,0,12546,1714,0,165,0,9,0,902,283,0,0,0,15619,29.27
4/5/22,12:00,0,12414,1555,0,135,0,11,0,781,208,0,0,0,15104,23.92
4/5/22,13:00,0,12202,1301,0,133,0,12,0,632,266,0,0,0,14546,19.67
4/5/22,14:00,0,12012,1186,0,135,0,18,0,303,402,0,0,0,14056,21.84
4/5/22,15:00,0,12402,982,0,133,0,23,0,270,0,-196,0,0,13614,15.93
4/5/22,16:00,0,11748,964,0,135,0,20,0,112,0,-168,0,0,12811,12.36
4/5/22,17:00,0,11030,951,0,136,0,9,0,0,428,0,0,0,12554,16.23
4/5/22,18:00,0,10704,984,0,135,0,5,0,0,932,0,0,0,12760,18.01
4/5/22,19:00,0,10667,982,0,135,0,6,0,52,1250,0,0,0,13092,20.44
4/5/22,20:00,0,10667,965,0,133,0,5,0,122,1198,0,0,0,13090,24.46
