,,Hokuriku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokuriku
3/31/22,16:00,0,2147,1366,0,73,0,39,0,0,0,-617,0,0,3008,13.3
3/31/22,17:00,0,2246,1339,0,73,0,43,0,0,0,-572,0,0,3128,15.52
3/31/22,18:00,0,2470,1421,0,73,0,41,0,0,0,-609,0,0,3394,15.66
3/31/22,19:00,0,2616,1401,0,74,0,37,0,0,0,-584,0,0,3543,14.89
3/31/22,20:00,0,2700,1408,0,73,0,39,0,0,0,-640,0,0,3579,15.72
3/31/22,21:00,0,2621,1420,0,72,1,43,0,0,0,-586,0,0,3571,16.99
3/31/22,22:00,0,2536,1509,0,73,44,40,0,0,0,-640,0,0,3562,24.77
3/31/22,23:00,0,2511,1429,0,72,166,40,0,0,0,-712,0,0,3506,15.19
4/1/22,0:00,0,2396,1386,0,72,346,44,0,0,0,-536,0,0,3709,11.41
4/1/22,1:00,0,2084,1323,0,72,641,45,0,0,0,-359,0,0,3805,5.49
4/1/22,2:00,0,2009,1298,0,72,892,46,0,0,0,-558,0,0,3758,0.01
4/1/22,3:00,0,1986,1233,0,72,912,47,0,0,0,-492,0,0,3758,0.01
4/1/22,4:00,0,1877,1227,0,72,922,46,-120,0,0,-478,0,0,3546,0.01
4/1/22,5:00,0,1993,1245,0,72,833,45,0,0,0,-568,0,0,3620,0.01
4/1/22,6:00,0,1875,1308,0,72,663,41,0,0,0,-403,0,0,3556,0.01
4/1/22,7:00,0,1800,1403,0,72,490,43,0,0,0,-298,0,0,3510,6.12
4/1/22,8:00,0,2190,1361,0,73,293,48,0,0,0,-449,0,0,3516,15.88
4/1/22,9:00,0,2473,1382,0,78,81,38,0,42,0,-566,0,0,3527,23.35
4/1/22,10:00,0,2625,1396,0,81,2,21,0,79,0,-578,0,0,3626,29.16
