,,Japan,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Japan
3/31/22,16:00,5017,63652,8590,272,1994,0,1848,-348,329,6647,-6484,0,0,81518,13.22
3/31/22,17:00,5017,62838,8610,273,1993,0,1890,-164,97,6580,-6445,0,0,80685,15.78
3/31/22,18:00,5017,64715,8690,273,1997,0,1998,0,338,6509,-6388,0,0,83144,16.04
3/31/22,19:00,5019,66090,9066,273,1997,0,2139,0,1447,6202,-6072,0,0,86159,14.89
3/31/22,20:00,5018,66980,9497,274,2001,0,2136,0,1707,6292,-6188,0,0,87717,15.72
3/31/22,21:00,5019,68514,9509,272,1998,76,2046,0,2137,6309,-6209,0,0,89672,20.71
3/31/22,22:00,5018,70818,9486,273,1979,1724,2107,0,2472,6777,-6660,0,0,94001,24.77
3/31/22,23:00,5019,69266,9323,271,1947,7431,2132,0,2997,7576,-7462,0,0,98502,22
4/1/22,0:00,5019,69535,9657,270,1918,16456,2239,-604,1837,8114,-7960,0,0,106482,17.08
4/1/22,1:00,5019,65974,9228,272,1894,26761,2240,-1888,1792,8523,-8369,2,0,111447,12.3
4/1/22,2:00,5018,59947,8596,272,1879,35136,2346,-3399,324,8762,-8643,153,0,110238,1.15
4/1/22,3:00,5019,55605,8291,273,1878,41695,2289,-5487,30,8268,-8166,785,0,109692,0.01
4/1/22,4:00,5019,50644,8100,273,1884,45077,2335,-8734,0,8213,-8115,978,36,104694,0.01
4/1/22,5:00,5019,52860,8150,272,1878,43155,2396,-6977,0,7877,-7772,750,0,106857,0.01
4/1/22,6:00,5018,55073,8507,271,1877,35719,2464,-4683,16,8028,-7922,298,0,104361,0.01
4/1/22,7:00,5019,60351,9102,273,1894,26317,2449,-3036,14,7730,-7622,2,0,102488,4.88
4/1/22,8:00,5018,70501,9769,272,1909,14061,2366,-411,335,7003,-6877,0,0,103937,19.15
4/1/22,9:00,5018,79717,10414,274,1952,3702,2305,0,1812,6384,-6194,0,0,105382,26.3
