,,Kansai,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kansai
3/31/22,16:00,2069,7112,1399,0,68,0,140,-330,0,2571,0,0,0,13029,13.3
3/31/22,17:00,2069,7267,1408,0,68,0,140,-155,0,1927,0,0,0,12724,15.52
3/31/22,18:00,2069,7733,1411,0,68,0,150,0,0,1822,0,0,0,13254,15.66
3/31/22,19:00,2069,7861,1610,0,68,0,151,0,0,1970,0,0,0,13729,14.89
3/31/22,20:00,2069,7645,1573,0,68,0,143,0,0,2283,0,0,0,13782,15.72
3/31/22,21:00,2069,7922,1594,0,68,2,143,0,0,2002,0,0,0,13801,16.99
3/31/22,22:00,2069,8193,1656,0,68,210,148,0,88,2085,0,0,0,14517,24.77
3/31/22,23:00,2069,8265,1711,0,69,988,148,0,158,2283,0,0,0,15689,15.19
4/1/22,0:00,2069,8083,1853,0,69,2362,134,0,277,2195,0,0,0,17041,11.41
4/1/22,1:00,2069,7139,1758,0,69,3759,147,0,126,2587,0,0,0,17653,5.49
4/1/22,2:00,2068,6304,1341,0,69,4584,142,0,14,3176,0,0,0,17699,0.01
4/1/22,3:00,2069,6268,1287,0,69,4932,135,-1137,0,4062,0,0,0,17685,0.01
4/1/22,4:00,2069,6334,1287,0,68,4944,139,-2068,0,4102,0,0,0,16876,0.01
4/1/22,5:00,2069,6349,1217,0,68,4569,153,-1179,0,4011,0,0,0,17257,0.01
4/1/22,6:00,2069,6713,1393,0,68,3836,151,-1145,0,3813,0,0,0,16898,0.01
4/1/22,7:00,2069,7278,1611,0,68,2862,142,-526,0,3230,0,0,0,16735,6.12
4/1/22,8:00,2069,8902,1808,0,68,1681,138,0,136,2284,0,0,0,17086,15.88
4/1/22,9:00,2069,10370,1945,0,68,559,129,0,167,1973,0,0,0,17280,23.35
4/1/22,10:00,2069,10978,2117,0,68,18,116,0,828,1741,0,0,0,17935,29.16
4/1/22,11:00,2069,10466,2112,0,68,0,112,0,328,2657,0,0,0,17812,28.32
4/1/22,12:00,2068,9988,2029,0,68,0,100,0,100,2934,0,0,0,17288,27.89
4/1/22,13:00,2068,10011,1906,0,68,0,71,0,101,2414,0,0,0,16640,27.18
4/1/22,14:00,2069,9757,1737,0,68,0,66,0,150,2016,0,0,0,15864,23.35
4/1/22,15:00,2068,9062,1639,0,68,0,63,0,19,2149,0,0,0,15068,16.01
4/1/22,16:00,2069,7644,1454,0,68,0,59,0,0,2657,0,0,0,13951,18.01
4/1/22,17:00,2068,7634,1499,0,68,0,60,0,0,2338,0,0,0,13669,19.44
4/1/22,18:00,2068,8302,1491,0,68,0,54,0,5,2147,0,0,0,14135,19.27
4/1/22,19:00,2068,8699,1503,0,68,0,52,0,94,1897,0,0,0,14381,23.45
4/1/22,20:00,2068,8395,1510,0,68,0,44,0,73,2077,0,0,0,14235,26.9
4/1/22,21:00,2068,8030,1477,0,68,3,35,0,0,2228,0,0,0,13910,29.42
4/1/22,22:00,2069,7501,1314,0,68,277,23,0,0,2701,0,0,0,13953,23.92
4/1/22,23:00,2068,7048,1073,0,68,1066,15,0,0,3109,0,0,0,14448,17.8
4/2/22,0:00,2068,6733,1077,0,68,2149,14,-212,0,3409,0,0,0,15306,11.42
4/2/22,1:00,2068,6419,1056,0,68,3000,13,0,29,3135,0,0,0,15788,1.01
4/2/22,2:00,2068,6124,997,0,68,3348,13,-465,0,3424,0,0,0,15579,1.01
4/2/22,3:00,2068,5683,908,0,68,3571,15,-1116,0,4027,0,0,0,15226,0.01
4/2/22,4:00,2068,6083,835,0,68,3666,16,-1715,0,3633,0,0,0,14655,0.01
4/2/22,5:00,2068,6390,846,0,68,3435,14,-1111,0,2899,0,0,0,14609,0.01
4/2/22,6:00,2068,6324,928,0,68,2923,12,-958,0,2900,0,0,0,14265,0.01
4/2/22,7:00,2068,6561,1124,0,68,2143,10,-854,0,2984,0,0,0,14104,0.01
4/2/22,8:00,2069,7126,1369,0,68,1246,8,0,102,2495,0,0,0,14485,5.69
4/2/22,9:00,2068,8381,1663,0,68,437,7,0,143,2337,0,0,0,15104,17.79
4/2/22,10:00,2068,9387,2015,0,68,20,6,0,211,2276,0,0,0,16051,25.54
4/2/22,11:00,2068,9028,2095,0,68,0,6,0,132,2780,0,0,0,16177,23.98
4/2/22,12:00,2069,9004,2005,0,68,0,6,0,256,2370,0,0,0,15779,22.79
4/2/22,13:00,2069,8932,1918,0,68,0,7,0,177,2067,0,0,0,15238,20.77
4/2/22,14:00,2069,8565,1510,0,68,0,9,0,99,2071,0,0,0,14390,18.3
4/2/22,15:00,2069,8039,1272,0,68,0,11,0,100,2122,0,0,0,13682,15.93
4/2/22,16:00,2069,6976,1304,0,68,0,10,0,1,2453,0,0,0,12881,16.8
4/2/22,17:00,2069,7287,1325,0,68,0,10,0,92,1709,0,0,0,12561,18.67
4/2/22,18:00,2069,7470,1621,0,68,0,10,0,145,1596,0,0,0,12979,19.22
4/2/22,19:00,2070,7789,1710,0,68,0,8,0,279,1452,0,0,0,13376,20.21
4/2/22,20:00,2070,7574,1694,0,68,0,7,0,281,1611,0,0,0,13305,19.97
4/2/22,21:00,2070,7114,1335,0,68,4,7,0,179,1932,0,0,0,12709,18.22
4/2/22,22:00,2070,6684,1155,0,68,303,7,0,119,2161,0,0,0,12567,17.93
4/2/22,23:00,2071,6732,1025,0,68,980,8,0,141,2046,0,0,0,13071,11.49
4/3/22,0:00,2070,6546,913,0,68,1470,9,0,131,2513,0,0,0,13720,11.48
4/3/22,1:00,2070,6153,839,0,68,1890,10,-200,0,3211,0,0,0,14042,11.25
4/3/22,2:00,2071,5643,840,0,68,2187,10,-427,0,3787,0,0,0,14179,11.56
