Solar_50Hz,Wind_50Hz,Solar_60Hz,Wind_60Hz
0,985,0,824
0,1046,0,801
0,1125,0,832
0,1228,0,874
0,1236,0,861
73,1155,2,848
948,1234,732,833
2497,1277,4768,815
4526,1442,11584,753
7115,1462,19005,733
9752,1603,24492,697
13620,1560,27163,682
16585,1613,27570,676
16915,1643,25407,708
13507,1686,21549,737
9104,1664,16723,742
4283,1599,9485,719
682,1579,2939,688
0,1529,118,636
0,1430,0,614
0,1304,0,578
0,1088,0,543
0,906,0,521
0,842,0,496
0,714,0,422
0,717,0,384
0,692,0,350
0,679,0,293
0,586,0,262
125,585,3,233
2522,545,1266,192
7822,560,5989,177
13723,682,12436,142
18062,727,18503,132
20919,820,21898,137
21960,835,23036,137
21095,842,22924,154
19147,856,21345,159
15976,801,18151,153
11014,776,12923,159
5046,733,7209,150
721,628,2700,110
9,488,196,87
9,406,0,90
6,395,0,93
0,435,0,105
0,455,0,103
0,487,0,118
0,512,0,116
0,500,0,145
0,475,0,158
0,399,0,155
0,333,0,182
149,320,4,200
2095,316,1055,187
5697,281,5172,202
9161,290,9868,206
11414,303,14168,213
12833,349,16398,215
12269,377,16960,227
11289,385,16653,231
9662,389,15594,222
7415,403,13688,226
4695,372,11023,228
2071,339,7602,264
247,289,2912,250
5,268,228,241
0,266,0,231
0,251,0,217
0,254,0,206
0,266,0,188
0,249,0,198
0,265,0,181
0,256,0,178
0,254,0,188
0,268,0,203
0,275,0,215
93,281,7,233
1108,291,1519,235
2579,278,7428,239
4308,265,14361,218
5548,248,20438,231
6145,237,24731,208
6580,234,26327,242
6005,240,26455,282
5690,225,25918,340
4106,225,23734,360
2753,225,18375,392
1354,231,11075,446
282,246,3874,423
0,252,232,396
0,264,0,403
0,260,0,388
0,271,0,355
0,250,0,327
0,253,0,313
0,294,0,291
0,304,0,290
0,285,0,293
0,262,0,306
0,258,0,298
110,260,13,293
1905,250,2383,259
5373,240,9536,198
8942,224,17266,136
11455,206,23553,64
13991,227,27447,58
15554,269,29171,69
15998,280,28828,58
14862,299,27263,68
12547,299,22777,50
9694,292,15405,55
4895,250,8423,45
844,269,2390,59
8,313,116,99
3,335,1,129
0,307,0,175
0,334,0,198
0,365,0,213
0,446,0,227
0,525,0,207
0,566,0,189
0,601,0,166
0,615,0,148
0,710,0,125
140,782,13,127
1564,800,1917,125
4385,833,8348,111
8312,998,15705,88
11240,1136,21908,82
15080,1178,25863,86
18228,1151,27484,91
19208,1073,27505,125
18269,998,26245,133
15547,988,22448,116
10764,983,16763,114
5170,964,10060,112
961,888,3390,94
0,821,248,101
0,784,0,99
0,703,0,92
0,659,0,124
0,625,0,124
0,599,0,123
0,613,0,117
0,566,0,115
0,463,0,112
0,349,0,81
0,268,0,49
190,257,22,32
2604,244,2192,41
7270,212,8681,57
12682,227,15895,64
16691,246,22456,83
19144,266,25776,151
19058,292,26041,238
17699,318,26115,273
14351,346,24551,281
10490,459,21119,273
5924,567,16055,271
2412,516,9259,269
411,443,3115,254
0,539,206,240
0,535,0,243
0,639,0,217
0,742,0,246
0,849,0,298
0,964,0,356
0,1044,0,379
0,1077,0,368
0,1118,0,332
0,1083,0,362
0,1076,0,354
196,1127,20,277
2720,1034,2447,231
7734,918,9276,181
13484,786,16441,141
18119,771,22795,148
20624,928,26857,158
21448,1145,28572,171
21042,1236,28722,174
19438,1187,27255,170
16467,1172,24060,190
11534,1089,18496,168
5662,990,11458,105
1089,852,4037,66
1,663,269,43
0,552,0,43
0,547,0,38
0,553,0,41
0,580,0,44
0,564,0,75
0,593,0,90
0,628,0,100
0,706,0,123
0,784,0,126
