Hour,Demand
1,36960
2,36491
3,37032
4,37929
5,38844
6,40561
7,43517
8,46219
9,50690
10,53460
11,52403
12,51928
13,49782
14,50639
15,49395
16,48039
17,48751
18,49642
19,52057
20,51504
21,50023
22,47773
23,45447
24,43399
25,40616
26,39732
27,39794
28,40033
29,40183
30,40570
31,40321
32,40139
33,41980
34,43973
35,44322
36,44152
37,42851
38,41647
39,40148
40,39354
41,40043
42,42359
43,46057
44,46157
45,45130
46,43321
47,41286
48,39573
49,37282
50,36433
51,36469
52,36917
53,37107
54,37344
55,37067
56,37781
57,39905
58,41433
59,41857
60,42225
61,42172
62,41976
63,41246
64,41469
65,42953
66,45498
67,47772
68,47379
69,46126
70,43867
71,40970
72,38822
73,36330
74,35626
75,35969
76,36651
77,37676
78,39590
79,42796
80,46312
81,51729
82,55489
83,55525
84,55523
85,53021
86,53983
87,53951
88,53484
89,54133
90,54353
91,54564
92,52811
93,50665
94,47884
95,44819
96,42139
97,39095
98,38080
99,38276
100,38656
101,39343
102,40655
103,42639
104,44795
105,48497
106,49949
107,49511
108,48979
109,46654
110,47162
111,45990
112,45392
113,45807
114,46131
115,47924
116,47114
117,45570
118,43335
119,41187
120,39153
121,36614
122,35865
123,36177
124,36683
125,37219
126,38208
127,39495
128,41226
129,45197
130,47056
131,46916
132,47447
133,45773
134,46101
135,45225
136,44543
137,44748
138,44729
139,46130
140,45303
141,43719
142,41628
143,39815
144,38070
145,35821
146,35191
147,35688
148,36218
149,36906
150,37795
151,38992
152,40420
153,44301
154,46959
155,47580
156,47435
157,45556
158,46045
159,45821
160,45224
161,45484
162,46055
163,47531
164,46394
165,44674
166,42427
167,40282
168,38423
169,36221
170,35689
171,36119
172,36790
173,37418
174,38308
175,39379
176,40074
177,43428
178,46220
179,47144
180,47475
181,45380
182,45651
183,44820
184,44104
185,44444
186,44356
187,45888
188,45042
189,43407
190,41272
191,39506
192,37977
193,35840
194,35144
195,35378
196,35906
197,36210
198,36049
199,35397
200,35006
201,36814
202,38678
203,39317
204,39379
205,38681
206,38166
207,37226
208,36711
209,37206
210,38088
211,40138
212,39831
213,38532
214,36720
215,35233
216,34117
217,32305
218,31943
219,32293
220,32875
221,33177
222,32812
223,31768
224,31570
225,33133
226,34977
227,36042
228,36932
229,36952
230,36404
231,35692
232,35724
233,36367
234,37581
235,39772
236,39547
237,38206
238,36377
239,34351
240,33223
241,31547
242,31168
243,31885
244,32667
245,33259
246,33680
247,34609
248,36539
249,40803
250,44077
251,45337
252,46018
253,43801
254,44934
255,44829
256,44940
257,44713
258,43561
259,44687
260,43352
261,41450
262,39280
263,37547
264,35933
265,33794
266,33138
267,33682
268,34341
269,34745
270,34936
271,35753
272,37330
273,41398
274,44793
275,46054
276,46788
277,45121
278,46407
279,46205
280,45769
281,45682
282,44541
283,45109
284,43774
285,41733
286,39498
287,37752
288,36221
289,34051
290,33328
291,33761
292,34394
293,34706
294,34712
295,35228
296,37417
297,41733
298,45396
299,46601
300,47181
301,45883
302,47476
303,47179
304,46346
305,46049
306,45306
307,46147
308,44699
309,42759
310,40520
311,38606
312,36853
313,34783
314,33854
315,34169
316,34750
317,35212
318,35701
319,37453
320,39909
321,44210
322,47141
323,47784
324,47908
325,45883
326,47679
327,47731
328,47530
329,47981
330,48077
331,48501
332,47101
333,45116
334,42616
335,40290
336,38271
337,35935
338,35088
339,35434
340,36180
341,36805
342,37761
343,39930
344,42611
345,47173
346,50042
347,50373
348,50288
349,48225
350,49171
351,48888
352,48529
353,48765
354,48850
355,49589
356,48351
357,46432
358,43950
359,41813
360,39664
361,36950
362,35799
363,35784
364,36277
365,36487
366,36548
367,36988
368,37972
369,40154
370,41108
371,40768
372,41610
373,40577
374,39833
375,38630
376,37558
377,38044
378,38958
379,41755
380,41997
381,41047
382,39326
383,37748
384,36457
385,34386
386,33713
387,34037
388,34516
389,34814
390,34454
391,33794
392,33814
393,35548
394,37381
395,37827
396,37436
397,36715
398,36089
399,35721
400,35947
401,37151
402,39353
403,41796
404,41780
405,40607
406,38713
407,36482
408,34916
409,33032
410,32510
411,33066
412,33826
413,34569
414,35095
415,36592
416,38922
417,43085
418,45943
419,45997
420,46677
421,45205
422,46915
423,47323
424,47165
425,47930
426,48108
427,48642
428,47211
429,45269
430,42653
431,40305
432,38151
433,35603
434,34879
435,35157
436,35895
437,36515
438,37073
439,38070
440,39280
441,42802
442,45866
443,46731
444,46917
445,45086
446,45817
447,45157
448,44260
449,44593
450,44439
451,45867
452,45084
453,43446
454,41212
455,39142
456,37428
457,35127
458,34428
459,34872
460,35471
461,36071
462,36861
463,38914
464,41260
465,45349
466,47684
467,47638
468,47599
469,45606
470,46784
471,46803
472,46560
473,46900
474,46813
475,47718
476,46640
477,44790
478,42310
479,40066
480,37971
481,35370
482,34606
483,34920
484,35573
485,36150
486,36480
487,37372
488,38810
489,42343
490,45132
491,46194
492,46300
493,43964
494,45029
495,44629
496,44188
497,44737
498,44891
499,45803
500,44567
501,42736
502,40532
503,38713
504,36837
505,34655
506,33978
507,34450
508,34953
509,35120
510,35447
511,36263
512,37641
513,41558
514,44883
515,46163
516,46687
517,45074
518,46357
519,46120
520,45536
521,45357
522,44356
523,44737
524,43541
525,41579
526,39357
527,37758
528,36250
529,34099
530,33150
531,33377
532,33776
533,33730
534,33081
535,33014
536,33832
537,36180
538,37545
539,39050
540,40679
541,40253
542,40346
543,39478
544,38785
545,38933
546,39265
547,40631
548,40269
549,38703
550,36688
551,35170
552,33905
553,31975
554,31305
555,31741
556,32301
557,32357
558,31624
559,30723
560,31000
561,33156
562,35059
563,35676
564,35910
565,35906
566,35971
567,35769
568,35599
569,36378
570,38403
571,40291
572,39785
573,38491
574,36699
575,34536
576,33169
577,31281
578,30688
579,31319
580,32222
581,32851
582,32841
583,34167
584,36155
585,40167
586,43909
587,45564
588,46530
589,45141
590,46400
591,46314
592,45744
593,45602
594,44377
595,44732
596,43629
597,41556
598,39296
599,37813
600,36153
601,33974
602,33089
603,33490
604,34144
605,34405
606,34371
607,35433
608,37831
609,42239
610,45521
611,46241
612,46484
613,44646
614,46770
615,47274
616,46584
617,47074
618,46404
619,46573
620,45116
621,42960
622,40727
623,38944
624,37140
625,34963
626,33968
627,34182
628,34765
629,34826
630,35006
631,36484
632,38944
633,42718
634,45714
635,47536
636,47843
637,46581
638,48948
639,47464
640,46264
641,46427
642,45671
643,46253
644,44873
645,42717
646,40097
647,38038
648,36241
649,33962
650,32899
651,33173
652,33842
653,34156
654,34240
655,35229
656,37069
657,40765
658,42857
659,43500
660,43418
661,41106
662,42913
663,42879
664,42190
665,42469
666,41719
667,42332
668,41836
669,40169
670,38107
671,36714
672,35094
673,33021
674,32140
675,32406
676,33197
677,33349
678,32723
679,32587
680,33624
681,36470
682,38876
683,39144
684,39791
685,39464
686,39962
687,40288
688,40423
689,41206
690,42392
691,43240
692,42650
693,41258
694,39215
695,36946
696,35353
697,33095
698,32189
699,32371
700,32916
701,33139
702,32807
703,32267
704,32748
705,35068
706,37377
707,38290
708,38398
709,37681
710,36772
711,35508
712,34792
713,35307
714,36435
715,38610
716,39198
717,38276
718,36436
719,34409
720,33028
721,30903
722,30063
723,30331
724,30859
725,31004
726,30801
727,30628
728,31611
729,33413
730,34787
731,35191
732,36581
733,36036
734,36083
735,36276
736,36484
737,37525
738,39324
739,40711
740,40332
741,38903
742,36794
743,34377
744,32634
745,30497
746,29821
747,30243
748,31078
749,31621
750,32110
751,32896
752,33951
753,36644
754,38831
755,39553
756,40317
757,39353
758,38845
759,38171
760,37654
761,38473
762,39168
763,40328
764,40210
765,38757
766,36872
767,34630
768,32978
769,30762
770,30128
771,30560
772,31193
773,31541
774,31233
775,30678
776,30934
777,32779
778,34946
779,35814
780,36273
781,35822
782,34599
783,33675
784,33221
785,33749
786,34880
787,36748
788,37316
789,36228
790,34775
791,33033
792,31678
793,29676
794,29103
795,29570
796,30269
797,30555
798,30170
799,29900
800,30580
801,32341
802,34070
803,35090
804,35429
805,35149
806,34577
807,33844
808,33648
809,34091
810,35013
811,36469
812,36907
813,35714
814,34018
815,32244
816,31009
817,29183
818,28572
819,29048
820,29813
821,29981
822,29281
823,28903
824,29593
825,31902
826,34366
827,35774
828,36465
829,36518
830,35999
831,35462
832,34954
833,35319
834,35886
835,37053
836,37310
837,35901
838,34171
839,32192
840,30779
841,29034
842,28384
843,29008
844,29805
845,30133
846,29756
847,30314
848,32297
849,36170
850,39674
851,41053
852,41528
853,40920
854,41544
855,41032
856,40131
857,39826
858,39388
859,40113
860,39644
861,37646
862,35592
863,33960
864,32444
865,30547
866,29669
867,29951
868,30687
869,30818
870,30584
871,30579
872,31882
873,34940
874,36928
875,38475
876,38865
877,38626
878,38910
879,38161
880,37748
881,37918
882,37883
883,38891
884,38606
885,36932
886,35029
887,33589
888,32208
889,30395
890,29541
891,29922
892,30578
893,30668
894,29840
895,29189
896,29927
897,32359
898,34367
899,35531
900,36088
901,36268
902,35177
903,34855
904,34130
905,34733
906,36407
907,38110
908,38129
909,36877
910,35062
911,33162
912,31782
913,30133
914,29528
915,29968
916,30910
917,31496
918,32357
919,34169
920,36561
921,41003
922,44033
923,44972
924,45205
925,43682
926,44977
927,45075
928,44841
929,45380
930,44831
931,44881
932,43931
933,42207
934,40003
935,38069
936,36078
937,33670
938,32854
939,33319
940,34052
941,34472
942,34691
943,35471
944,36973
945,40654
946,44164
947,45499
948,45749
949,44041
950,45202
951,44555
952,43841
953,44009
954,42810
955,43146
956,42850
957,41107
958,39037
959,37389
960,35655
961,33315
962,32445
963,32845
964,33645
965,34059
966,33899
967,34552
968,36459
969,41043
970,44099
971,45364
972,46494
973,44074
974,44389
975,44064
976,43647
977,44299
978,43606
979,43748
980,43133
981,41267
982,39007
983,37228
984,35466
985,33243
986,32351
987,32691
988,33344
989,33583
990,33503
991,34571
992,37332
993,42240
994,45776
995,46776
996,47178
997,45621
998,47096
999,46396
1000,45480
1001,45730
1002,45302
